ID	SENTENCE	INDEX	LEN
2012_636056	Kicker Miroslav Klose fährt Wasserski Kicker Miroslav Klose fährt Wasserski.	1970.2	10
2012_643531	Krautblätter mit Röllchen füllen, Blattränder einschlagen, Blätter aufrollen, Rouladen binden.	1905.5	10
2012_121929	Bodenplatte, Wände (gebrannte Ziegel 40 cm), Fenster, Wasserleitungen, Elektrik, Heizung, Sanitär- und Küchenbereich.	1891.5	12
2012_651282	Lauréate: Schiebetür links, Rücksitzbank geteilt umklappbar, el. Fensterheber vorn, Zentralverriegelung mit Fernbedienung.	1887.08333333333	12
2012_801702	Serienausstattung: Dokker: ESP, Front- und Seitenairbags, Schiebetür rechts, Tagfahrlicht, umklappbare Rückbank.	1883.81818181818	11
2012_929220	Webcam Hallstatt - Heritage Hotel Wildernde Hunde rissen elf Schafe NEUKIRCHEN/Enknach.	1883.09090909091	11
2012_670706	Marillenmarmelade mit Zitronenmelisse 1,3 kg Marillen, 1 kg Gelierzucker, 4 EL gehackte Zitronenmelisse.	1878.5	10
2012_532030	"Heidi - Hanó - Böpples ""Schwäbisch Roulette"" dreht anders: tabulos, enthüllend, gefährlich."	1873.4	10
2012_89077	Auszeichnungen Kategorie Gewerbe: FABACHEM - chem. Verfahrenstechnik (2700 Wiener Neustadt); PANNO-MED medizinische Gerätebau-& Handels GmbH (7423 Pinkafeld).	1848.86666666667	15
2012_22194	AlleImmobilienMarktplatzMotor Gesundheit / Kosmetik (0) Unterricht / Nachhilfe (1) Verkaufe Bosch Kühlschrank (weiß) - Neuwertig!	1842.2	10
2012_472894	ETH BSA Quintus Miller (Stellvertretender Vorsitzender), Univ. Prof. Arch. Kjetil Traedal Thorsen (zeitweise vertreten durch Architekt Dipl.-Ing.	1841.16666666667	18
2012_546295	Hunderte zogen durchs Village, warfen Flaschen, riefen „Gay Power!“, zündelten und machten Randale.	1840.46153846154	13
2012_853392	Tolle Frucht, feine Säure, Samttannine, perfekt eingebundenes Holz (24 Monate Barrique-Reife).	1837.90909090909	11
2012_428789	ELGA: Apotheker betonen Vorteile Apotheker befürworten die elektronische Gesundheitsakte (ELGA).	1835.5	10
2012_672285	Matte Linoleumböden, kaltes Kunstlicht, schwere Stahltüren, ein schmuckloser Innenhof, enge Zellen.	1821.18181818182	11
2012_912252	Vorarlbergerin gewinnt Sprachmania Vorarlbergerin gewinnt Sprachmania Sprachtalent am BG Bludenz: Elena Gamon.	1819	12
2012_773607	Rostbraten anrichten, mit Saft übergießen, obendrauf knusprige, leicht gesalzene Röstzwiebel drapieren.	1814.45454545455	11
2012_996145	Zwangsarbeit unter härtesten Bedingungen, Prügelstrafe, stundenlanges Appellstehen, Essensentzug, mangelnde medizinische Betreuung.	1812.36363636364	11
2012_754861	Pedrosa siegte, Stoner stürzte und Lorenzo profitierte Dani Pedrosa feierte.	1805.7	10
2012_660790	Ludwig Paischer gewinnt Judo-Silber, Schwimmerin Mirna Jukic und Kanutin Violetta Oblinger-Peters (Wildwasser-Slalom) holen jeweils Bronze.	1805.66666666667	18
2012_747983	Orgon (L. Zeidler, li. hinten) erkennt Tartuffes (Klaus Köhler, mit „Elmire“ Julia Ribbeck) falsche Absichten.	1802.86666666667	15
2012_718691	NET Technologien Projektleiter und Systemarchitekt SAP Beratung Presales Logistik Elektroauto anschaffen?	1801.27272727273	11
2012_128696	Chemie-Alarm: 150 Wohnungen evakuiert Kühlmittel ausgetreten: Behälter bei Bauarbeiten beschädigt.	1796.7	10
2012_862299	UHC Eggenburg schlug ebenfalls daheim SG UHC Adm. Landhaus/W.	1793.7	10
2012_718696	NET Technologien SAP Beratung Presales Logistik Download kostenloser eBooks von Thalia.	1792.90909090909	11
2012_530603	Häufig auftretende Symptome: Gewichtsverlust, vermehrter Stuhlgang, Schlaflosigkeit, innere Unruhe, Herzklopfen, erhöhte Empfindlichkeit gegenüber Hitze sowie starkes Schwitzen.	1790.76470588235	17
2012_600028	Infos unter Fürstenbräu Gastronomie (Fasching & Oosterveld OG), Hauptstraße 31, Fürstenfeld, Tel. 03382/55255.	1785.5	10
2012_678251	Melzer gewinnt Tie-Break-Krimi Melzer gewinnt Tie-Break-Krimi Melzer erreicht Viertelfinale.	1782.84615384615	13
2012_92064	Bean“ Rowan Atkinson, Regisseur Guy Ritchie, und Sängerin Joss Stone.	1781.7	10
2012_865329	Um Mangelerscheinungen vorzubeugen braucht trockenes, glanzloses Haar ausgewogene, gesunde, vitaminreiche Vollwerternährung.	1780.45454545455	11
2012_981588	Zierliche Pakistani salutieren vor wuchtigen Senegalesen, blässliche Russen plaudern mit dunklen Mongolen.	1779.33333333333	12
